BldgType,CentralAir,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,EnclosedPorch,Fireplaces,FullBath,GarageArea,GarageCars,GarageYrBlt,GrLivArea,HalfBath,KitchenAbvGr,LotArea,LotFrontage,LowQualFinSF,MSSubClass,MasVnrArea,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PoolArea,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
1Fam,Y,794,676,0,3,182,0,0,1,612,0,0,2,388,2,1997,1470,0,1,13869,117.7667186,0,60,0,0,7,75,6,6,0,0,6,794,0,1997,1997,2007,177000
1Fam,Y,816,0,0,3,0,0,0,0,816,0,1,1,528,2,1985,1176,0,1,6240,52,360,50,0,400,9,0,6,6,0,0,6,816,112,1934,1950,2006,114500
Duplex,N,816,0,0,2,104,712,1,0,0,0,0,1,516,2,1963,816,0,1,8472,110,0,90,0,0,5,0,5,5,0,0,5,816,106,1963,1963,2010,110000
1Fam,Y,1842,0,0,0,1810,0,2,0,32,0,1,0,894,3,1981,1842,1,1,50271,68,0,20,0,0,11,72,5,9,0,0,5,1842,857,1981,1987,2006,385000
1Fam,Y,1360,0,0,3,384,0,0,0,0,0,1,1,572,2,1962,1360,0,1,7134,60,0,80,0,0,2,50,5,5,0,0,6,384,0,1955,1955,2007,130000
1Fam,Y,1425,0,407,3,490,0,0,0,935,0,1,2,576,2,1964,1425,0,1,10175,100,0,20,272,0,7,0,5,6,0,0,7,1425,0,1964,1964,2008,180500
Twnhs,Y,983,756,0,3,649,0,1,0,321,0,0,2,480,2,1999,1739,1,1,2645,24,0,160,456,0,8,0,5,8,0,0,7,970,115,1999,2000,2009,172500
1Fam,Y,860,860,0,3,0,0,0,0,860,0,0,2,565,2,2004,1720,1,1,11645,89,0,60,0,0,8,70,5,7,0,0,7,860,0,2004,2004,2006,196500
1Fam,Y,1426,1519,0,3,0,0,0,0,1410,37,1,3,641,3,2006,2945,1,1,13682,66,0,60,1031,0,10,0,5,10,0,0,10,1410,192,2006,2006,2006,438780
1Fam,Y,780,0,0,2,632,0,0,0,148,0,0,1,352,1,1973,780,0,1,7200,60,0,20,0,0,1,0,7,5,0,0,4,780,196,1972,1972,2008,124900
1Fam,Y,1158,0,0,3,941,0,1,0,217,0,0,1,576,2,2006,1158,1,1,13072,63,0,20,0,0,5,50,5,6,0,0,5,1158,0,2004,2004,2006,158000
1Fam,N,581,530,0,3,0,0,0,0,530,144,0,1,288,1,1935,1111,0,1,7200,60,0,75,0,0,3,0,7,5,0,0,6,530,0,1920,1996,2007,101000
TwnhsE,Y,1370,0,0,2,24,0,0,0,1346,0,1,2,484,2,2006,1370,0,1,6442,44,0,120,178,0,10,49,5,8,0,0,6,1370,120,2006,2006,2007,202500
1Fam,Y,902,808,0,3,0,0,0,0,576,64,0,2,480,2,1990,1710,0,1,10300,50,0,70,0,0,4,11,6,7,0,0,9,576,12,1921,1950,2010,140000
1Fam,Y,1057,977,0,3,739,0,1,0,318,0,0,2,645,2,1998,2034,1,1,9375,96.82458366,0,60,573,0,2,36,5,7,0,0,8,1057,576,1997,1998,2009,219500
1Fam,Y,1143,1330,0,4,0,0,0,0,1143,0,1,2,852,3,2004,2473,1,1,9591,76,0,60,344,0,10,151,5,8,0,0,9,1143,192,2004,2005,2007,317000
1Fam,Y,2207,0,0,3,912,0,1,0,1035,0,1,2,576,2,1970,2207,0,1,19900,141.0673598,0,20,287,0,7,0,5,7,0,0,7,1947,301,1970,1989,2010,180000
1Fam,Y,1479,0,0,3,1013,0,1,0,440,0,0,2,558,2,2003,1479,0,1,10665,72,0,20,167,0,6,29,5,7,0,0,7,1453,144,2003,2003,2007,226000
1Fam,Y,747,0,0,2,0,0,0,0,747,0,0,1,220,1,1945,747,0,1,4608,47,0,30,0,0,6,0,6,4,0,0,4,747,0,1945,1950,2010,80000
1Fam,Y,1304,983,0,3,603,0,0,0,701,114,1,2,667,2,1953,2287,0,1,15593,81,0,50,0,0,7,21,4,7,0,0,7,1304,0,1953,1953,2006,225000
1Fam,Y,2223,0,0,3,1880,0,1,0,343,0,2,2,516,2,1973,2223,0,1,13651,95,0,20,1115,0,2,0,6,7,0,0,8,2223,300,1973,1973,2007,244000
1Fam,Y,845,0,0,2,565,0,1,0,280,0,0,1,360,2,1987,845,0,1,7599,69,0,20,0,0,6,0,6,4,0,0,4,845,0,1982,2006,2007,129500
1Fam,Y,885,833,0,3,0,0,0,0,832,0,1,2,427,2,1998,1718,1,1,10141,74,0,60,40,0,12,94,5,7,0,291,7,832,0,1998,1998,2009,185000
1Fam,Y,1086,0,0,3,320,362,1,0,404,0,0,1,490,2,1989,1086,0,1,10200,85,0,20,104,0,5,0,7,5,0,0,6,1086,0,1954,2003,2010,144900
1Fam,N,840,765,0,3,0,0,0,0,840,202,0,2,379,1,1915,1605,0,2,5790,60,0,50,0,0,5,0,6,3,0,0,8,840,0,1915,1950,2010,107400
Twnhs,Y,526,462,0,2,462,0,1,0,0,0,0,1,297,1,1973,988,0,1,1596,21,0,180,0,0,11,101,5,4,0,0,5,462,120,1973,1973,2009,91000
1Fam,Y,952,0,0,2,228,0,0,0,724,0,0,1,283,1,1956,952,0,1,8475,92.0597632,0,20,0,0,4,0,7,4,0,0,4,952,0,1956,1956,2008,135750
1Fam,Y,1072,213,0,2,336,41,1,0,295,0,0,1,240,1,1948,1285,0,1,8635,50,0,50,0,0,1,0,5,5,0,0,6,672,0,1948,2001,2008,127000
1Fam,Y,682,548,0,2,0,0,0,0,440,128,0,1,440,2,1966,1230,1,1,10440,60,0,50,0,0,5,0,6,5,0,0,5,440,74,1910,1981,2009,110000
1Fam,Y,1182,960,0,4,448,0,0,0,448,0,1,2,509,1,1968,2142,1,1,13000,100,0,60,576,0,6,72,6,6,0,252,8,896,0,1968,1968,2009,193500
TwnhsE,Y,1337,0,0,2,1201,0,1,0,36,0,0,2,405,2,1998,1337,0,1,4500,32,0,120,443,0,3,199,5,6,0,0,5,1237,0,1998,1998,2006,153500
1Fam,Y,1563,0,0,3,33,0,0,0,1530,0,1,2,758,3,2007,1563,0,1,10206,78,0,20,468,0,10,99,5,8,0,0,6,1563,144,2007,2007,2008,245000
1Fam,Y,1065,0,0,3,0,0,0,0,1065,0,0,1,461,2,1974,1065,1,1,8892,80,0,20,66,0,7,0,5,5,0,0,6,1065,74,1960,1960,2007,126500
1Fam,Y,804,670,0,3,0,0,0,0,384,0,1,2,400,2,1995,1474,1,1,8530,92.35799911,0,80,22,700,5,72,5,7,0,0,7,384,120,1995,1996,2009,168500
1Fam,Y,1301,1116,0,4,0,0,0,0,1288,0,1,2,462,2,1991,2417,1,1,16059,121,0,60,284,0,4,82,5,8,0,0,9,1288,127,1991,1992,2006,260000
1Fam,Y,684,876,0,3,0,0,0,0,684,0,1,2,400,2,2005,1560,1,1,11911,122,0,60,0,0,3,38,5,6,0,0,6,684,100,2005,2005,2009,174000
TwnhsE,Y,612,612,0,2,0,0,0,0,612,0,0,2,528,2,2009,1224,1,1,3951,40,0,160,76,0,6,234,5,6,0,0,4,612,0,2009,2009,2009,164500
1Fam,Y,1040,0,0,2,0,0,0,0,0,0,0,1,420,2,1950,1040,0,1,7200,60,0,20,0,0,7,29,5,4,0,0,4,0,0,1950,1950,2006,109900
1Fam,Y,1235,0,0,2,600,0,0,0,635,0,0,1,480,2,1961,1235,0,1,8500,85,0,20,203,0,12,0,3,5,0,0,6,1235,0,1961,1961,2006,98600
1Fam,Y,964,0,0,2,713,0,1,0,163,44,0,1,432,2,1921,964,0,1,13360,80,0,30,0,0,8,0,7,5,0,0,5,876,0,1921,2006,2009,163500
2fmCon,N,1260,1031,0,4,1046,0,0,1,168,0,1,2,506,2,1900,2291,0,2,7200,60,0,190,0,0,11,0,6,6,0,99,9,1214,0,1910,1998,2007,133900
1Fam,Y,905,881,0,3,648,0,1,0,176,0,0,2,684,2,1997,1786,1,1,9337,69,0,60,0,0,5,162,5,6,0,0,7,824,0,1997,1997,2007,204750
1Fam,Y,680,790,0,3,310,0,0,0,370,0,1,2,420,2,1993,1470,1,1,9765,98.81801455,0,60,68,480,4,63,8,6,0,0,6,680,232,1993,1993,2009,185000
1Fam,Y,1588,0,0,3,1162,0,0,0,426,0,0,2,472,2,1999,1588,0,1,10264,78,0,20,183,0,8,29,5,7,0,0,6,1588,158,1999,1999,2006,214000
1Fam,Y,960,0,0,3,520,0,1,0,440,0,0,1,432,1,1965,960,0,1,10921,73,0,20,48,0,5,0,5,4,0,0,6,960,120,1965,1965,2007,94750
1Fam,N,835,0,0,2,108,0,0,0,350,77,0,1,366,1,1920,835,0,1,10625,85,0,30,0,400,5,0,5,5,0,0,5,458,0,1920,1950,2010,83000
1Fam,Y,1610,0,0,3,1200,0,1,0,410,0,2,2,480,2,1977,1610,0,1,10603,102.9708697,0,20,28,0,2,68,7,6,0,0,6,1610,168,1977,2001,2010,205000
1Fam,Y,977,755,0,3,0,0,0,0,741,0,1,2,476,2,1985,1732,1,1,9206,77,0,60,336,0,6,46,5,6,0,0,7,741,192,1985,1985,2010,178000
Duplex,Y,1535,0,0,4,0,0,0,0,0,0,0,2,410,2,1979,1535,0,2,7018,64,0,90,0,0,6,0,5,5,0,0,8,0,0,1979,1979,2009,118964
1Fam,Y,1226,0,0,3,0,0,0,0,1226,0,0,2,740,3,2009,1226,0,1,10402,94,0,20,0,0,5,36,5,7,0,0,6,1226,0,2009,2009,2010,198900
1Fam,Y,1226,592,0,4,224,0,0,0,816,0,2,1,240,1,1951,1818,1,1,7758,88.07950954,0,50,600,0,6,0,4,7,0,184,7,1040,0,1931,1950,2007,169500
1Fam,Y,1053,939,0,3,0,0,0,0,1053,0,1,2,648,2,2003,1992,1,1,9375,75,0,60,768,0,8,45,5,8,0,0,9,1053,140,2003,2004,2008,250000
1Fam,Y,1047,0,0,2,0,0,0,0,641,0,0,1,273,1,1954,1047,0,1,10800,60,0,30,0,450,8,0,7,4,0,0,6,641,0,1885,1995,2007,100000
1Fam,Y,789,0,0,2,104,169,0,0,516,0,0,1,250,1,1948,789,0,1,6000,50,0,20,0,0,4,0,5,5,0,0,5,789,0,1948,1950,2008,115000
1Fam,Y,1844,0,0,3,705,0,0,0,1139,0,1,2,546,2,1977,1844,0,1,11751,105,0,20,480,0,1,122,6,6,0,0,7,1844,0,1977,1977,2010,190000
1Fam,Y,1216,639,0,4,444,0,0,0,550,0,0,2,325,1,1954,1855,0,1,9525,75,0,50,0,0,10,0,4,6,0,0,7,994,182,1954,1972,2006,136900
1Fam,Y,774,656,0,3,250,0,0,0,134,0,1,2,400,2,2000,1430,1,1,7750,88.03408431,0,80,0,0,4,0,5,7,0,0,7,384,180,2000,2000,2010,180000
1Fam,Y,1282,1414,0,4,984,0,1,0,280,0,1,2,792,3,2007,2696,1,1,9965,77,0,60,220,0,10,184,5,7,0,168,10,1264,120,2007,2007,2007,383970
1Fam,Y,2259,0,0,3,35,869,1,0,905,192,2,2,450,2,1953,2259,0,1,21000,144.9137675,0,20,184,0,10,120,5,6,0,0,7,1809,166,1953,1953,2007,217000
1Fam,Y,1436,884,0,3,774,150,1,0,104,0,1,2,180,1,1945,2320,1,1,7259,61,0,70,0,0,7,0,8,6,0,0,9,1028,224,1945,2002,2007,259500
TwnhsE,Y,729,729,0,2,419,0,0,0,310,0,1,2,440,2,1999,1458,1,1,3230,34,0,160,1129,0,6,32,5,6,0,0,5,729,0,1999,1999,2007,176000
1Fam,Y,1092,0,0,3,170,670,0,1,252,144,1,1,288,1,1962,1092,0,1,11616,107.7775487,0,20,116,0,9,20,5,5,0,0,6,1092,0,1962,1962,2009,139000
1Fam,Y,1125,0,0,2,0,0,0,0,1125,0,0,1,430,2,2007,1125,1,1,8536,74,0,20,0,0,4,64,5,5,0,0,5,1125,80,2006,2007,2007,155000
1Fam,Y,1699,1523,0,5,1470,0,1,0,203,0,2,3,594,3,1990,3222,0,1,12376,90,0,60,0,0,5,0,5,7,0,0,11,1673,367,1990,1990,2010,320000
1Fam,Y,728,728,0,3,0,0,0,0,728,0,1,2,390,2,2005,1456,1,1,8461,65,0,60,0,0,7,24,5,6,0,0,8,728,0,2005,2006,2006,163990
1Fam,Y,988,0,130,1,938,0,1,0,0,0,2,1,540,2,1969,988,0,1,21453,59.91111111,0,80,0,0,10,130,5,6,0,0,4,938,0,1969,1969,2006,180000
1Fam,Y,772,351,0,3,0,0,0,0,732,140,0,1,264,1,1979,1123,0,1,6060,50,0,50,0,0,6,0,5,4,0,0,4,732,0,1939,1950,2007,100000
1Fam,Y,1080,0,0,3,570,0,0,0,510,0,0,1,288,1,1958,1080,0,1,9464,75,0,20,135,0,6,0,7,6,0,130,5,1080,0,1958,1958,2008,136000
TwnhsE,Y,1199,0,0,2,300,0,0,0,899,0,0,2,530,2,1993,1199,0,1,7892,55,0,120,0,0,3,63,5,6,0,0,5,1199,0,1993,1993,2008,153900
1Fam,Y,1586,0,0,3,0,0,0,0,1362,0,1,2,435,2,1979,1586,0,1,17043,48,0,20,0,0,1,0,5,6,0,0,7,1362,192,1979,1998,2009,181000
TwnhsE,Y,958,0,0,2,120,0,0,0,958,0,1,2,440,2,1977,958,0,1,4928,70.1997151,0,120,0,0,2,205,5,6,0,0,5,1078,0,1976,1976,2007,128000
1Fam,Y,660,688,0,3,512,0,0,0,148,0,1,1,453,2,1966,1348,1,1,7590,69,0,60,266,0,7,108,5,6,0,0,6,660,188,1966,1966,2006,155000
1Fam,Y,1053,0,180,3,567,28,0,1,413,0,0,1,750,2,1998,1053,1,1,8973,69,0,20,85,0,7,80,7,5,0,0,6,1008,0,1958,1991,2006,150000
1Fam,Y,1216,941,0,4,445,0,0,0,479,0,2,2,487,2,1966,2157,1,1,14200,88,0,60,309,0,5,66,6,7,0,0,8,924,105,1966,1966,2006,226000
1Fam,Y,1022,1032,0,3,695,0,1,0,297,0,1,2,390,2,2000,2054,1,1,12224,110.5621997,0,60,40,0,7,48,5,6,0,0,7,992,24,2000,2000,2009,244000
1Fam,Y,1327,0,0,3,405,0,1,0,658,0,0,1,624,2,1974,1327,0,1,7388,75,0,20,0,0,7,0,6,5,0,0,7,1063,0,1959,2002,2007,150750
1Fam,Y,1296,0,0,2,1005,0,1,0,262,0,0,2,471,2,2001,1296,0,1,6853,82.78284847,0,20,136,0,6,25,5,8,0,0,6,1267,192,2001,2002,2009,220000
1Fam,Y,1721,0,0,3,570,0,0,0,891,180,1,2,440,2,1968,1721,1,1,10335,78,0,20,0,0,7,96,6,5,0,0,7,1461,0,1968,1993,2006,180000
1Fam,Y,1682,0,0,3,0,0,0,0,1304,0,1,2,530,2,1970,1682,0,1,10400,80,0,20,288,0,5,0,6,7,0,0,7,1304,98,1970,1970,2008,174000
1Fam,Y,1214,0,0,3,695,0,0,0,519,0,1,2,318,1,1967,1214,0,1,10355,101.7595204,0,20,196,0,7,111,5,5,0,0,5,1214,0,1967,1967,2007,143000
Duplex,Y,1959,0,0,5,0,0,0,0,1907,0,0,3,766,3,1989,1959,0,2,11070,82,0,90,70,0,7,0,5,7,0,0,9,1907,0,1988,1989,2006,171000
1Fam,Y,1004,848,0,3,668,0,0,0,336,0,2,2,660,3,1999,1852,1,1,9066,73,0,60,320,0,12,106,5,8,0,0,7,1004,224,1999,2000,2008,230000
1Fam,Y,928,836,0,3,821,0,1,0,107,0,0,2,470,2,1997,1764,1,1,15426,65,0,60,0,0,8,99,5,6,0,0,7,928,276,1997,1997,2009,231500
1Fam,Y,1734,0,0,3,1300,0,1,0,434,0,0,2,660,2,2005,1734,0,1,11645,78,0,20,0,0,1,24,5,7,0,0,7,1734,160,2005,2005,2006,260000
1Fam,Y,910,475,0,4,507,0,0,0,403,0,0,2,720,2,2000,1385,0,1,8520,71,0,50,0,0,6,0,4,5,0,0,6,910,0,1952,1952,2010,166000
1Fam,Y,1501,0,0,3,679,0,1,0,811,0,0,2,577,2,1999,1501,0,1,10335,78,0,20,183,0,6,29,5,7,0,0,6,1490,144,1999,1999,2009,204000
Duplex,Y,1728,0,0,6,1332,0,1,0,396,0,0,2,504,2,1963,1728,0,2,9100,70,0,90,336,0,11,0,5,5,0,0,10,1728,0,1963,1963,2006,125000
Twnhs,Y,970,739,0,3,0,0,0,0,970,0,0,2,380,2,2004,1709,0,1,2522,24,0,160,50,0,4,40,5,6,0,0,7,970,0,2004,2006,2006,130000
1Fam,Y,875,0,0,2,209,0,1,0,506,0,0,1,180,1,1931,875,0,1,6120,51,0,30,0,0,11,0,7,5,0,0,5,715,48,1931,1993,2009,105000
1Fam,Y,884,1151,0,3,0,0,0,0,884,0,1,2,434,2,2001,2035,1,1,9505,59.91111111,0,60,180,0,5,48,5,7,0,0,8,884,144,2001,2001,2010,222500
1Fam,Y,896,448,0,3,0,0,0,0,896,0,0,1,240,1,1936,1344,0,1,6240,78.99367063,0,50,0,0,4,114,4,5,0,0,7,896,200,1936,1950,2006,115000
1Fam,Y,969,0,0,3,716,0,0,0,253,0,0,1,440,2,1975,969,1,1,10356,120,0,20,0,0,1,0,6,5,0,0,5,969,0,1975,1975,2007,122000
1Fam,Y,1710,0,0,2,1400,0,1,0,310,0,1,2,866,3,2007,1710,0,1,13891,107,0,20,436,0,1,102,5,8,0,0,6,1710,0,2007,2008,2008,372402
1Fam,Y,1097,896,0,4,416,0,0,0,409,0,1,2,495,2,1971,1993,1,1,14803,59.91111111,0,60,252,0,6,66,5,6,0,0,8,825,0,1971,1971,2006,190000
1Fam,Y,1252,0,0,1,429,1080,1,0,93,0,1,1,564,2,1960,1252,0,1,13500,116.1895004,0,20,0,0,3,0,7,6,0,0,4,1602,409,1960,1975,2008,235000
1Fam,Y,1200,0,0,4,0,0,0,0,1200,228,0,1,312,1,1923,1200,0,1,11340,84,0,30,0,0,3,0,5,6,0,0,7,1200,0,1923,1950,2006,125000
1Fam,Y,1040,0,0,2,0,0,0,0,0,0,0,1,625,2,1950,1040,0,1,7200,60,0,20,0,0,6,0,7,5,0,0,5,0,0,1950,1950,2006,109500
1Fam,Y,774,1194,0,4,0,0,0,0,774,0,1,2,680,3,2009,1968,1,1,12003,92,0,60,84,0,5,75,5,8,0,0,8,774,0,2009,2010,2010,269500
